Varför?	Why?
De gick tidigt.	They left early.
Hon blev polis.	She became a police officer.
Vill du äta?	Do you want to eat?
Vem är du?	Who are you?
Har du barn?	Do you have children?
Var arbetar du?	Where do you work?
Gillar du fisk?	Do you like fish?
Svara på frågan.	Answer the question.
Jag är törstig.	I'm thirsty.
Jag förlorade medvetandet.	I lost consciousness.
Känner jag honom?	Do I know him?
Var är utgången?	Where is the way out?
Talar du svenska?	Do you speak Swedish?
Nej, inte alls.	No, not at all.
Ja, där borta.	Yes, over there.
Vi äter lunch.	We are having lunch.
Vi äter middag.	We are having dinner.
Vi äter frukost.	We are having breakfast.
Jag talar svenska.	I speak Swedish.
Jag hjälper dig.	I'm helping you.
Linda älskar choklad.	Linda loves chocolate.
Jag är förkyld.	I have a cold.
Hur är han?	What is he like?
Jag går alltid.	I always walk.
Du klagar alltid.	You are always complaining.
Det är middagsdags.	It's time for dinner.
Vilken lång gurka!	What a long cucumber!
Jag är vegetarian.	I am a vegetarian.
Gjort är gjort.	What's done is done.
Vem skrev brevet?	Who wrote the letter?
Grannhunden skäller alltid.	The dog next door is always barking.
Där är Tokyo.	There is Tokyo.
Han är lärare.	He is a teacher.
Vi är människor.	We are humans.
Jag är mätt.	I'm full.
Vem vet inte?	Who doesn't know?
Juryn är oenig.	The jury is hung.
Du äcklar mig.	You disgust me.
Strumporna luktar illa.	The socks smell bad.
Kunskap är makt.	Knowledge is power.
Kan du latin?	Do you know Latin?
Han höll andan.	He held his breath.
Sten, sax, påse.	Rock, paper, scissors.
Vilken spännande match!	What an exciting game!
Mayuko kan cykla.	Mayuko can ride a bicycle.
Han har glasögon.	He wears glasses.
Har Bob rätt?	Is Bob right?
Jag är högerhänt.	I am right-handed.
Betty är danslärare.	Betty is a dance teacher.
De tackade Gud.	They thanked God.
Jag studerar konsthistoria.	I study art history.
Han har medlemsprivilegier.	He has the privileges of membership.
Koka ett ägg.	Boil one egg.
Jag har ryggont.	I have backache.
Jag är Lin.	I am Lin.
Du verkar frånvarande.	You seem distant.
Jag är vänsterhänt.	I'm left-handed.
Hon är mörkhyad.	She is dark-skinned.
Han berättade sanningen.	He told the truth.
Han sade sanningen.	He told the truth.
Lugna ner dig.	Calm down.
Lugna ner er.	Calm down.
Släpp inte taget.	Don't let go.
Folk älskar frihet.	People love freedom.
Länge leve konungen!	Long live the King!
Det är iskallt.	It is freezing cold.
Ställ undan cykeln.	Put away your bicycle.
Var är chefen?	Where's the boss?
Han spelar golf.	He is playing golf.
Han började gråta.	He began to cry.
Prata inte strunt.	Don't talk rubbish.
Vad heter du?	What is your name?
Talar du turkiska?	Do you speak Turkish?
Hon fortsatte prata.	She kept on talking.
De är vegetarianer.	They are vegetarians.
Jag älskar arabiska.	I love Arabic.
Är du okej?	Are you alright?
Är du trött?	Are you tired?
Sveriges befolkning ökar.	The population of Sweden is increasing.
Vi ska se.	We shall see.
Jag är kvinna.	I am a woman.
Jag har bröder.	I have brothers.
Jag är lärare.	I am a teacher.
Hon är stark.	She is strong.
Papegojan är död.	The parrot is dead.
Utsikten är fantastisk.	The view is amazing.
Dags att sticka.	Time to go.
Låter det bekant?	Does it ring a bell with you?
Han tvättar bilen.	He is washing the car.
Detsamma gäller Japan.	The same is true of Japan.
För Guds skull.	For heavens sake.
Tom verkar sova.	Tom seems to be asleep.
Han har cancer.	He has got cancer.
Alister dödade Barbara.	Alister killed Barbara.
Vi spelade baseball.	We played baseball.
Är hon trevlig?	Is she nice?
Du är anhållen.	You're under arrest.
Har du pengarna?	Have you got the money?
Matade du papegojorna?	Did you feed the parrots?
Hur var det?	What was it like?
Flickan dricker te.	The girl is drinking tea.
Jag gillar utmaningar.	I like challenges.
En hund skäller.	A dog is barking.
Han har problem.	He is in trouble.
Det blev oavgjort.	The game was drawn.
Är vädret fint?	Is the weather nice?
Biljetterna är slutsålda.	All the tickets are sold out.
Barnet slutade gråta.	The baby stopped crying.
Tom slutade röka.	Tom quit smoking.
Tom är ute.	Tom is out.
Signalen blev grön.	The signal turned green.
Vänta en stund.	Give me a minute.
Snälla, förlåt mig.	Please, forgive me.
Vad läser du?	What are you reading?
Öppna era ögon.	Open your eyes.
Dricker du kaffe?	Do you drink coffee?
Solen är röd.	The sun is red.
Jag är student.	I am a student.
Varifrån kommer du?	Where do you come from?
Jag är gravid.	I am pregnant.
Han är sjuk.	He is ill.
Många har samlats.	Many people have gathered.
Det är intressant.	It's interesting.
Kaniner gillar morötter.	Rabbits like carrots.
Jag går hem.	I'm going home.
Hon kommer förmodligen.	It is probable that she will come.
Hon håller diet.	She's dieting.
Han älskar musik.	He loves music.
Hur hände trafikolyckan?	How did the traffic accident happen?
Är han lärare?	Is he a teacher?
Är mjölken god?	Is the milk good?
Guldpriset ändras dagligen.	The price of gold fluctuates daily.
Tom gick vilse.	Tom got lost.
Efter oss syndafloden.	After us the deluge.
Män är svin.	Men are pigs.
Det är gratis.	It's free.
Var är ingången?	Where is the entrance?
Staden var öde.	The town was deserted.
Livet är orättvist.	Life is unfair.
Jag behöver nycklarna.	I need the keys.
Räcker tiotusen yen?	Is ten thousand yen enough?
Dubbelklicka på ikonen.	Double-click the icon.
Mayuko verkar klok.	Mayuko seems wise.
Vad är haken?	What's the catch?
Du är tokig!	You're crazy!
Var ligger Mississippi?	Where is Mississippi?
Jag mår bra.	I'm OK.
Jag behöver hjälp.	I need help.
Han var upptagen.	He was busy.
Får jag äta?	Can I eat?
Vad säger han?	What does he say?
Ni måste hem.	You must go home.
Du måste hem.	You must go home.
Jag behöver kaffe.	I need coffee.
Gör som jag!	Do as I do!
Vad betyder ”Tatoeba”?	"What does ""Tatoeba"" mean?"
Du har förändrats.	You've changed.
Vilka vackra blommor!	What lovely flowers!
En hund sprang.	A dog was running.
Ljug aldrig igen.	Never tell a lie again.
Skolan är tråkig.	School is boring.
Jag hade tur.	I was lucky.
Du borde sova.	You should sleep.
Saknade du mig?	Did you miss me?
Är det illa?	Is it bad?
Jag har huvudvärk.	I have a headache.
Livet är vackert.	Life is beautiful.
Är du galen?	Are you mad?
Talar du italienska?	Do you speak Italian?
Termiter äter trä.	Termites eat wood.
Sådant är livet.	That's life.
Jag arbetar här.	I work here.
Jag jobbar här.	I work here.
Jag var hungrig.	I was hungry.
Hon kommer kanske.	She might come.
Vi drack mycket.	We drank a lot.
Jag gillar serieböcker.	I like comic books.
Jag gillar manga.	I like mangas.
Jag rörde ingenting.	I didn't touch anything.
Rör er inte!	Nobody moves!
Hon började springa.	She started to run.
De försökte fly.	They attempted to escape.
Vi klagar alltid.	We're always complaining.
Lunchen är klar!	Lunch is ready!
Middagen är klar!	Dinner is ready!
Vart går han?	Where is he going?
Talar hon franska?	Does she speak French?
Var ligger damernas?	Where is the ladies' room?
Jag måste sova.	I have to sleep.
Jag mutade polisen.	I bribed the policeman.
Mjölken kokade över.	The milk boiled over.
Är du ledsen?	Are you sad?
Jag tvättade bilen.	I washed the car.
Vart gick pappa?	Where did dad go?
Ät dina grönsaker.	Eat your veggies.
Du låter besviken.	You sound disappointed.
Ni låter besvikna.	You sound disappointed.
De låter besvikna.	They sound disappointed.
Hon har solglasögon.	She has sunglasses.
Min far röker.	My father smokes.
Jag är ung.	I'm young.
Jag förlorade allt.	I lost everything.
Han är bög.	He is gay.
Vilken stor hund!	What a big dog!
Sommaren är över.	The summer is over.
Frukosten är färdig.	Breakfast is ready.
Jag matade hunden.	I fed the dog.
Vi hade rätt.	We were right.
Hände det verkligen?	Did it actually happen?
Händer det verkligen?	Is this actually happening?
Damen förblev tyst.	The lady remained silent.
Dörren öppnas nu.	The door is opening now.
Tjejen är ensam.	The girl is lonely.
Ta bort lådan.	Take that box away!
Det är hemligt.	It's confidential.
Vad vill du?	What do you want?
Ställ inga frågor.	Don't ask any questions.
Jag använder det.	I use it.
Min näsa kliar.	My nose itches.
Gör ditt val.	Make your choice.
Vad gjorde Jean?	What did Jean make?
Vad har hon?	What does she have?
När börjar det?	When does it begin?
Jag ger upp.	I give up.
Släpp in mig.	Let me in.
Det är okej.	It's OK.
Har jag fel?	Am I wrong?
Mår du bra?	Are you OK?
Får jag hjälpa?	Can I help?
Han är snäll.	He is kind.
Jag gillar honom.	I like him.
Jag älskar henne.	I love her.
Jag är upptagen.	I'm busy.
Jag är ledig.	I'm free.
Är det gratis?	Is it free?
Släpp ut mig!	Let me out!
Låt mig betala.	Let me pay.
Låt mig se.	Let me see.
Titta på mig.	Look at me.
Ta en buss.	Take a bus.
Prata med mig!	Talk to me!
Du kan gå.	You may go.
Han får komma.	He can come.
Hur mår Mary?	How is Mary?
Jag är längre.	I am taller.
Jag gillar båda.	I like both.
Jag gillar jazz.	I like jazz.
Jag älskar rock.	I love rock.
Jag försov mig.	I overslept.
Jag är vaken.	I'm awake.
Jag är pank.	I'm broke.
Jag har rätt.	I'm right.
Livet är roligt.	Life is fun.
Jag är människa.	I'm a human.
Hon bet honom.	She bit him.
Hon slog honom.	She hit him.
Hon är snäll.	She is kind.
Stäng av den.	Turn it off. (-en noun)
Hade jag fel?	Was I wrong?
Hur är läget?	What's up?
Är du vilse?	Are you lost?
Kan du komma?	Can you come?
Kom med oss.	Come with us.
Han var själv.	He was alone.
Han var ensam.	He was alone.
Han var modig.	He was brave.
Han är smart.	He's smart.
Han är intelligent.	He's smart.
Jag åt kaviar.	I ate caviar.
Jag gillade Tony.	I liked Tony.
Det var natt.	It was night.
Mary kom in.	Mary came in.
Hon är lycklig.	She is happy.
Hon är tyst.	She is quiet.
Hon känner mig.	She knows me.
Hon gick ut.	She went out.
Det är mitt.	That is mine. (-ett noun)
Den är min.	That is mine. (-en noun)
Du är sen.	You are late.
Han kramade henne.	He hugged her.
Han är stark.	He's strong.
Tom, skynda dig.	Hurry up, Tom.
Jag gillar vinter.	I like winter.
Jag använder Firefox.	I use Firefox.
Jag var hemma.	I was at home.
Jag är säker.	I'm certain.
Jag är seriös.	I'm serious.
Det är molnigt.	It's cloudy.
Det är måndag.	It's Monday.
Hör av dig!	Keep in touch!
Mary kan simma.	Mary can swim.
Hon undviker mig.	She avoids me.
Hon kom sist.	She came last.
Hon blev arg.	She got angry.
Hon hatade honom.	She hated him.
Hon hatar honom.	She hates him.
Hon hjälper honom.	She helps him.
Hon gillar honom.	She likes him.
Hon älskar honom.	She loves him.
Hon älskar Tom.	She loves Tom.
Hon var modig.	She was brave.
Hon gick hem.	She went home.
Tom är frånvarande.	Tom is absent.
Var är du?	Where are you?
Du borde gå.	You should go.
Var inte ledsen.	Don't be sad.
Bra jobbat, gubbar.	Well done, guys.
Inte en chans!	Fat chance.
Du måste skämta!	You must be joking!
Han är författare.	He is a writer.
Han var hemma.	He was at home.
Jag reser ofta.	I often travel.
Jag är doktor.	I'm a doctor.
Jag är jättetjock.	I'm very fat.
Är hon hemma?	Is she at home?
Lämna mig ifred!	Leave me alone!
Låt mig vara!	Leave me alone!
Lämna mig ifred.	Leave me alone.
Lyssna på detta!	Listen to this!
Lynn springer snabbt.	Lynn runs fast.
Många fiskar dog.	Many fish died.
Mr. Smith kom.	Mr. Smith came.
Säg det tydligt.	Say it clearly.
Hon kom ensam.	She came alone.
Hon lurade honom.	She fooled him.
Hon hjälpte honom.	She helped him.
Hon kramade honom.	She hugged him.
Hon är sjuksköterska.	She is a nurse.
Hon sparkade honom.	She kicked him.
Hon kysste honom.	She kissed him.
Hon älskar katter.	She loves cats.
Hon saknar honom.	She misses him.
Hon sjunger bra.	She sings well.
Det är konstigt.	It's strange.
De hatade Tom.	They hated Tom.
Tvätta ditt ansikte.	Wash your face.
Var ligger Paris?	Where is Paris?
Var är Tony?	Where's Tony?
Varför frågar du?	Why do you ask?
Varför ljuger du?	Why do you lie?
Städa ditt rum.	Clean your room.
Känner du henne?	Do you know her?
Känner du honom?	Do you know him?
Ge inte upp!	Don't give up!
Han är ogift.	He is unmarried.
Han älskar tåg.	He loves trains.
Snälla hjälp mig.	Help me, please.
Jag hatar politik.	I hate politics.
Jag behöver någon.	I need somebody.
Han spelade tennis.	He played tennis.
Jag vill sova.	I want to sleep.
Är någon hemma?	Is anybody home?
Är hon japansk?	Is she Japanese?
Kate är förkyld.	Kate has a cold.
Titta bakom dig.	Look behind you.
Ta det lugnt.	Take your time.
Låt det vara.	Leave it.
Använd den här.	Use this. (-en noun)
Flytta på dig.	Move over.
Ryck upp dig.	Lighten up.
Spring för livet!	Run for it!
Gör det inte.	Don't do it.
Tom är död.	Tom is dead.
Har Tom ringt?	Did Tom call?
Ta en drink.	Have a drink.
Jag måste gå.	I have to go.
Jag klarar mig.	I'll be fine.
Jag stannar här.	I'll be here.
Jag fixar en.	I'll get one. (-en noun)
Jag hämtar en.	I'll get one. (-en noun)
Jag har dig.	I've got you.
Peka ut det.	Point it out.
Hon gillade det.	She liked it.
Tom hatar mig.	Tom hates me.
Tom behöver mig.	Tom needs me.
Vi kommer överens.	We get on OK.
Du är konstig.	You're weird.
Gör det snabbt.	Do it quickly.
Var inte elak.	Don't be mean.
Var inte ohövlig.	Don't be rude.
Gör inte detta.	Don't do this.
Han är irriterande.	He's annoying.
Jag gjorde ingenting.	I did nothing.
Jag går först.	I'll go first.
Mary är konstig.	Mary is weird.
Hon är grym.	She's awesome.
Ta bara en.	Take only one. (-en noun)
Det är mycket.	That's plenty.
Detta är konstigt.	This is weird.
Tom hatar dig.	Tom hates you.
Tom är rädd.	Tom is scared.
Tom hade rätt.	Tom was right.
Var Tom ensam?	Was Tom alone?
När var det?	When was that?
Är vi vänner?	Are we friends?
Kom tillbaka hit.	Come back here.
Provade du det?	Did you try it?
Känner vi dig?	Do we know you?
Har du sovit?	Have you slept?
Han fick jobbet.	He got the job.
Hur var Hawaii?	How was Hawaii?
Jag hörde röster.	I heard voices.
Jag tar den.	I will take it. (-en noun)
Jag betalar extra.	I'll pay extra.
Jag skjuter dig.	I'll shoot you.
Jag väntar här.	I'll wait here.
Jag såg allt.	I saw everything.
Jag hämtar nycklarna.	I'll get my keys.
Jag hämtar bilen.	I'll get the car.
Jag ska försöka.	I'm going to try.
Så vad hände?	So what happened?
Sluta plåga mig.	Stop badgering me.
Detta stämmer inte.	This isn't correct.
Tom studsade tillbaka.	Tom bounced back.
Jag är musiker.	I'm a musician.
Visa oss runt.	Show us around.
Tom klappade ihop.	Tom cracked up.
Tom dog ensam.	Tom died alone.
Tom är eldslukare.	Tom is a fire swallower.
Jag gick inte.	I didn't walk.
Tom är präst.	Tom is a priest.
Trevligt att träffas.	Nice to meet you.
Jag låtsades arbeta.	I pretended to work.
Var ligger hotellet?	Where is the hotel?
Hon heter Irina.	Her name's Irina.
Jag tror det.	I think so.
Tom tog någonting.	Tom took something.
Jag stjäl inte.	I don't steal.
Tom lurade dig.	Tom ripped you off.
Det är likartat.	It is similar.
Hon var gråtfärdig.	She was on the verge of crying.
Det är liknande.	It is similar. (-ett noun)
Den är liknande.	It is similar.&nbsp;(-en noun)
Åt du något?	Did you eat anything?
Jag brände papperet.	I burned the paper.
Jag drack kaffet.	I drank the coffee.
Bilen är blå.	The car is blue.
Mitt hjärta blöder.	My heart is bleeding.
Han åt äpplet.	He ate the apple.
Jag ser huset.	I see the house.
Är jag fadern?	Am I the father?
Hon kan simma.	She can swim.
Jag kan äta.	I can eat.
Emily kan simma.	Emily can swim.
Vi vann tävlingen!	We won the contest!
Talar du arabiska?	Do you speak Arabic?
Jag talar arabiska.	I speak Arabic.
Du förtjänar mer.	You deserve more.
Hon öppnade dörren.	She opened the door.
Han blev polis.	He became a policeman.
Tom tände bordslampan.	Tom turned on the table lamp.
Vi bakar kakor.	We are baking cookies.
De älskade det.	They loved it.
Hennes ledighetsansökan avslogs.	Her application for leave was refused.
Ska vi beställa?	Shall we order?
Det är läggdags.	It's bedtime.
Rökning är förbjudet.	Smoking is prohibited.
Kor äter gräs.	Cows eat grass.
Han stängde dörren.	He shut the door.
Det var nära!	That was a close call.
Krig är helvetet.	War is hell.
Republikanerna var rasande.	Republicans were furious.
Vi avbryter här.	Let's stop here.
Heather tror mig.	Heather believes me.
Bar båda hjälmar?	Were both of them wearing helmets?
Jag mindes alla.	I remembered everybody.
Tom moppar golvet.	Tom is mopping the floor.
Knivspetsen är vass.	The tip of the knife is sharp.
Det är utpressning.	That's blackmail.
Vad betyder SSSR?	What does USSR stand for?
Tom arbetade deltid.	Tom was working part-time.
Du behövs inte.	You aren't needed.
Koppen är sprucken.	The cup has a crack.
Hon hatade vanilj.	She hated vanilla.
Vi stannar här.	Let's stop here.
De&nbsp;var utmärkta.	They were fine.
Det är otroligt.	It's unbelievable.
Jag är smickrad.	I'm flattered.
Det är felaktigt.	It's incorrect.
Jag talar tyska.	I speak German.
Älskar du henne?	Do you love her?
Hon behöver hjälp.	She needs help.
Kvinnan äter bröd.	The woman is eating bread.
Jag kramade Emily.	I hugged Emily.
Emily kramade mig.	Emily hugged me.
Emily skrev meningen.	Emily wrote the sentence.
Tvätta dina händer.	Wash your hands.
Vi säljer skor.	We sell shoes.
Han varnade dig.	He warned you.
Jag har frågor.	I have questions.
Det är ovanligt.	That's unusual.
Behöver du något?	Do you need anything?
Köpte du läkemedlet?	Did you buy the medicine?
Blomman är röd.	The flower is red.
Vi hjälpte de.	We helped them.
Kaffe och cigaretter.	Coffee and cigarettes.
Tom är kommunist.	Tom is a communist.
Jag har klardrömmar.	I have lucid dreams.
Jag är skild.	I'm divorced.
Är han död?	Is he dead?
Hon bytte ämne.	She changed the subject.
Vad är växelkursen?	What is the exchange rate?
Dörren är öppen.	The door is open.
